 | Id   | Map                                                                                                                                     | Difficulty | 
 | 124  | HTT - U&I (TV Size) [Pro Drum]                                                                                                          | 53.99897   | 
 | 125  | Pendulum - The Island (MaxNRG Remix) [4K The Dream - Easy]                                                                              | 29.08728   | 
 | 128  | Pendulum - The Island (MaxNRG Remix) [7K The Bed - Normal]                                                                              | 42.76125   | 
 | 129  | Pendulum - The Island (MaxNRG Remix) [7K The Island - Insane]                                                                           | 55.94117   | 
 | 130  | Toyosaki Aki - Diamond [Hard]                                                                                                           | 21.1532    | 
 | 131  | Toyosaki Aki - Diamond [Insane]                                                                                                         | 25.11794   | 
 | 132  | Toyosaki Aki - Diamond [Normal]                                                                                                         | 17.52513   | 
 | 134  | Jin - Yuukei Yesterday [Akareh's Insane]                                                                                                | 33.67147   | 
 | 136  | Jin - Yuukei Yesterday [Hard]                                                                                                           | 23.426     | 
 | 137  | Jin - Yuukei Yesterday [Teru's Normal]                                                                                                  | 0          | 
 | 139  | Linked Horizon - Jiyuu no Tsubasa (TV Size) [Hard]                                                                                      | 8.719927   | 
 | 140  | Linked Horizon - Jiyuu no Tsubasa (TV Size) [Insane]                                                                                    | 32.41508   | 
 | 141  | Linked Horizon - Jiyuu no Tsubasa (TV Size) [Normal]                                                                                    | 8.540187   | 
 | 142  | Pet na Kanojotachi - Kimi ga Yume wo Tsuretekita (TV Size) [4K HD]                                                                      | 45.28418   | 
 | 143  | Pet na Kanojotachi - Kimi ga Yume wo Tsuretekita (TV Size) [Hanyuu's 7K MX]                                                             | 52.4649    | 
 | 144  | Pet na Kanojotachi - Kimi ga Yume wo Tsuretekita (TV Size) [Spy&vic'4K NM]                                                              | 27.43102   | 
 | 145  | Falcom Sound Team J.D.K. - Phantasmagoria [7K HD]                                                                                       | 46.12886   | 
 | 146  | Falcom Sound Team J.D.K. - Phantasmagoria [7K MX]                                                                                       | 56.00082   | 
 | 147  | Falcom Sound Team J.D.K. - Phantasmagoria [7K NM]                                                                                       | 36.88987   | 
 | 149  | Falcom Sound Team J.D.K. - Phantasmagoria [victorica_db's 4K MX]                                                                        | 47.0025    | 
 | 150  | HTT - Gohan wa Okazu [4K Standard]                                                                                                      | 30.9881    | 
 | 152  | HTT - Gohan wa Okazu [S.Star's 7K Another]                                                                                              | 48.60419   | 
 | 153  | Gentle Stick X M2U - Hades in the Heaven [DJPop's Insane]                                                                               | 54.92226   | 
 | 154  | Gentle Stick X M2U - Hades in the Heaven [DJPop's Normal]                                                                               | 43.87994   | 
 | 156  | Gentle Stick X M2U - Hades in the Heaven [ExtrA]                                                                                        | 40.94902   | 
 | 158  | Gentle Stick X M2U - Hades in the Heaven [K i A i's Insane]                                                                             | 43.07817   | 
 | 161  | Gentle Stick X M2U - Hades in the Heaven [Ono's Taiko Muzukashii]                                                                       | 17.44781   | 
 | 162  | Gentle Stick X M2U - Hades in the Heaven [Ono's Taiko Oni]                                                                              | 20.08491   | 
 | 163  | Gentle Stick X M2U - Hades in the Heaven [STAC's Rain]                                                                                  | 31.92489   | 
 | 165  | yuikonnu - Souzou Forest [Amateur Drum]                                                                                                 | 49.88345   | 
 | 166  | yuikonnu - Souzou Forest [Basic Drum]                                                                                                   | 35.23284   | 
 | 167  | yuikonnu - Souzou Forest [Pro Drum]                                                                                                     | 53.51144   | 
